Accident_Severity,Time,Road_Surface_Conditions,Weather_Conditions,Urban_or_Rural_Area,Number_of_Vehicles
3,"17:36",Dry,"Fine without high winds",1,1
3,"00:15",Dry,"Fine without high winds",1,2
3,"10:35",Dry,"Fine without high winds",1,1
3,"21:13",Wet,"Fine without high winds",1,1
3,"12:40",Wet,"Raining without high winds",1,2
3,"20:40",Dry,"Fine without high winds",1,2
3,"17:35",Dry,"Fine without high winds",1,1
3,"22:43",Dry,"Fine without high winds",1,2
3,"16:00",Dry,"Fine without high winds",1,2
3,"00:42",Dry,"Fine without high winds",1,1
3,"20:48",Wet,"Fine without high winds",1,2
3,"12:55",Wet,"Raining without high winds",1,1
3,"05:01",Wet,"Raining without high winds",1,2
3,"11:15",Dry,"Fine without high winds",1,1
3,"10:50",Dry,"Fine without high winds",1,1
2,"00:15",Dry,"Fine without high winds",1,2
3,"09:15",Dry,"Fine without high winds",1,2
3,"21:16",Dry,"Fine without high winds",1,2
2,"03:00",Dry,"Fine without high winds",1,1
3,"21:45",Dry,"Fine without high winds",1,1
3,"17:05",Dry,"Fine without high winds",1,2
3,"21:30",Frost,"Fine without high winds",1,2
3,"17:25",Dry,"Fine without high winds",1,2
3,"07:34",Wet,"Fine without high winds",1,2
3,"16:35",Wet,"Raining without high winds",1,1
3,"20:00",Dry,"Fine without high winds",1,2
3,"13:15",Wet,"Raining without high winds",1,2
3,"18:20",Wet,"Raining without high winds",1,2
3,"07:25",Dry,"Fine without high winds",1,2
2,"17:30",Wet,"Raining without high winds",1,2
3,"12:30",Dry,"Unknown",1,2
3,"09:55",Wet,"Fine without high winds",1,2
3,"13:00",Wet,"Raining without high winds",1,2
3,"13:02",Dry,"Fine without high winds",1,4
3,"22:55",Dry,"Fine without high winds",1,2
3,"17:30",Dry,"Fine without high winds",1,2
3,"15:00",Dry,"Fine without high winds",1,2
3,"21:25",Dry,"Fine without high winds",1,2
3,"12:41",Dry,"Fine without high winds",1,2
3,"23:35",Dry,"Fine without high winds",1,1
3,"09:15",Dry,"Fine without high winds",1,2
3,"13:25",Dry,"Fine without high winds",1,1
3,"20:00",Dry,"Fine without high winds",1,2
3,"08:20",Dry,"Fine without high winds",1,2
3,"11:30",Dry,"Fine without high winds",1,2
3,"18:10",Wet,"Raining without high winds",1,2
3,"11:33",Wet,"Fine without high winds",1,1
3,"20:05",Dry,"Fine without high winds",1,2
3,"16:44",Wet,"Raining without high winds",1,2
3,"18:00",Wet,"Raining without high winds",1,2
3,"10:15",Dry,"Fine without high winds",1,1
2,"18:15",Dry,"Fine without high winds",1,1
3,"10:35",Dry,"Fine without high winds",1,2
3,"17:36",Wet,"Raining without high winds",1,1
3,"16:05",Dry,"Fine without high winds",1,1
3,"13:56",Wet,"Raining without high winds",1,1
3,"14:10",Dry,"Fine without high winds",1,2
3,"10:10",Dry,"Fine without high winds",1,2
3,"14:50",Wet,"Raining without high winds",1,1
3,"14:43",Wet,"Fine without high winds",1,3
3,"17:20",Dry,"Fine without high winds",1,2
3,"12:40",Dry,"Fine without high winds",1,2
3,"13:55",Dry,"Fine without high winds",1,1
3,"22:25",Dry,"Fine without high winds",1,2
3,"18:14",Wet,"Fine without high winds",1,4
3,"16:30",Wet,"Fine without high winds",1,2
3,"19:00",Wet,"Raining without high winds",1,1
3,"17:13",Dry,"Fine without high winds",1,1
3,"17:00",Wet,"Raining without high winds",1,2
3,"09:15",Wet,"Snowing without high winds",1,2
3,"00:11",Wet,"Raining without high winds",1,1
3,"19:00",Dry,"Fine without high winds",1,3
3,"01:48",Wet,"Other",1,1
3,"07:58",Snow,"Snowing without high winds",1,1
3,"14:55",Wet,"Fine without high winds",1,1
3,"08:22",Wet,"Snowing without high winds",1,2
3,"04:38",Wet,"Snowing without high winds",1,1
3,"13:20",Wet,"Raining without high winds",1,1
3,"00:30",Wet,"Fine without high winds",1,2
3,"19:30",Wet,"Snowing without high winds",1,2
3,"12:03",Wet,"Raining without high winds",1,2
3,"23:03",Dry,"Fine without high winds",1,2
3,"22:19",Wet,"Raining without high winds",1,2
3,"14:30",Dry,"Fine without high winds",1,2
2,"19:15",Wet,"Raining without high winds",1,2
3,"18:31",Wet,"Raining without high winds",1,2
3,"02:58",Dry,"Fine without high winds",1,2
3,"10:40",Dry,"Fine without high winds",1,1
3,"23:40",Dry,"Fine without high winds",1,1
3,"21:07",Wet,"Fine without high winds",1,1
2,"18:40",Wet,"Raining without high winds",1,2
3,"16:55",Dry,"Fine without high winds",1,1
3,"13:36",Dry,"Fine without high winds",1,1
3,"01:05",Dry,"Fine without high winds",1,2
3,"12:20",Dry,"Fine without high winds",1,2
3,"08:56",Dry,"Fine without high winds",1,2
3,"16:55",Dry,"Fine without high winds",1,3
3,"15:35",Dry,"Fine without high winds",1,3
3,"17:35",Wet,"Fine without high winds",1,1
3,"09:15",Dry,"Fine without high winds",1,1
3,"00:15",Dry,"Fine without high winds",1,2
3,"13:02",Dry,"Fine without high winds",1,2
